cluster_label,agg_tl_x,agg_tl_y,agg_width,agg_height,boxes_in_cluster
0,255.339341666,429.857615418,43.4820714789,16.5683877463,13
1,111.016763665,369.106860348,51.5460903687,15.6535481406,13
2,111.016763665,400.402703869,51.5460903687,14.7274557745,13
3,111.016763665,354.379404574,51.5460903687,14.7274557745,13
4,255.339341666,490.608370488,43.4820714789,14.7274557745,13
5,111.016763665,313.465755361,51.5460903687,26.4153620366,13
6,255.339341666,339.651948799,43.4820714789,14.7274557745,13
7,111.016763665,339.651948799,51.5460903687,14.7274557745,13
8,111.016763665,385.317204335,51.5460903687,14.7274557745,13
9,111.016763665,475.880914713,51.5460903687,14.7274557745,13
10,255.339341666,475.880914713,43.4820714789,14.7274557745,13
11,255.339341666,385.317204335,43.4820714789,14.7274557745,13
12,255.339341666,354.379404574,43.4820714789,14.7274557745,13
13,255.339341666,313.465755361,43.4820714789,26.4153620366,13
14,111.016763665,490.608370488,51.5460903687,14.7274557745,13
15,255.339341666,369.106860348,43.4820714789,15.6535481406,13
16,111.016763665,429.857615418,51.5460903687,16.5683877463,13
17,255.214820974,459.981215864,43.832217326,15.2883364982,12
18,255.214820974,415.130159643,42.9117514266,14.8480804643,12
19,235.089091878,429.857615418,16.110966728,16.5683877463,12
20,373.158976794,475.603010428,49.6132033215,14.7274557745,12
21,209.316046694,475.603010428,24.0444098813,14.7274557745,12
22,301.362636638,415.130159643,40.7834502083,14.8480804643,12
23,235.089091878,339.651948799,16.110966728,14.7274557745,12
24,345.544999811,475.603010428,24.1953904944,14.7274557745,12
25,424.705067163,354.379404574,22.9325034006,15.2883364982,12
26,301.362636638,354.379404574,40.7834502083,15.2883364982,12
27,301.362636638,385.022626223,40.7834502083,14.7274557745,12
28,164.818167444,369.106860348,23.9321133855,15.1905019575,12
29,424.705067163,339.651948799,22.9325034006,14.7274557745,12
30,345.544999811,490.209052259,24.1953904944,14.8480804643,12
31,301.362636638,475.603010428,40.7834502083,14.7274557745,12
32,209.316046694,400.402703869,24.0444098813,14.7274557745,12
33,190.906728705,385.022626223,16.5683861899,14.7274557745,12
34,209.316046694,369.106860348,24.0444098813,15.1905019575,12
35,235.089091878,354.379404574,16.110966728,15.2883364982,12
36,373.158976794,354.379404574,49.6132033215,15.2883364982,12
37,424.705067163,415.130159643,22.9325034006,14.8480804643,12
38,345.544999811,339.651948799,24.1953904944,14.7274557745,12
39,235.089091878,385.022626223,16.110966728,14.7274557745,12
40,209.316046694,313.522060614,24.0444098813,26.094204821,12
41,345.544999811,385.022626223,24.1953904944,14.7274557745,12
42,164.818167444,415.130159643,23.9321133855,14.8480804643,12
43,235.089091878,490.209052259,16.110966728,14.8480804643,12
44,190.906728705,354.379404574,16.5683861899,15.2883364982,12
45,164.818167444,339.651948799,23.9321133855,14.7274557745,12
46,301.362636638,400.402703869,40.7834502083,14.7274557745,12
47,301.362636638,313.522060614,40.7834502083,26.094204821,12
